Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,2,2,15,1,1,0,14,0
6,2,4,14,28,2,4,33,2
13,2,4,23,35,2,0,53,2
0,2,4,8,29,1,0,33,0
0,2,6,8,37,2,7,32,4
0,2,11,12,68,3,0,73,2
0,4,11,16,55,4,8,54,3
0,3,11,19,69,2,21,55,6
0,2,3,10,21,1,0,28,1
0,2,8,18,71,2,0,81,2
129,2,3,16,139,2,7,128,23
0,2,6,9,35,1,2,36,3
0,2,1,9,0,1,0,8,0
25,4,3,20,40,3,15,39,2
156,2,11,12,206,6,79,122,7
0,2,3,11,21,2,1,28,0
13,3,3,16,25,3,5,30,3
0,2,8,22,41,1,0,55,6
0,3,4,32,20,3,0,47,0
45,2,3,21,55,2,2,67,10
0,3,2,16,17,2,0,30,0
0,2,12,10,70,2,5,67,10
0,2,11,11,56,1,0,56,8
0,2,2,11,19,1,0,27,1
36,3,3,14,40,3,1,43,3
0,3,2,20,1,2,0,18,0
0,3,5,23,24,3,6,35,1
0,14,4,73,119,11,19,161,5
20,4,4,22,34,6,0,45,2
0,3,2,19,9,3,1,24,0
190,2,3,23,200,2,28,188,10
0,2,7,19,26,2,4,34,0
0,2,2,17,1,1,0,16,0
0,2,20,18,88,1,12,74,14
0,2,3,11,19,1,0,27,1
0,3,2,14,12,2,4,19,0
0,3,5,16,29,2,0,37,5
80,2,3,7,89,4,31,63,6
0,5,5,28,31,3,0,50,4
18,2,22,11,138,2,5,124,20
0,2,1,10,0,1,0,9,0
0,2,14,9,376,1,133,125,128
0,3,7,21,95,2,26,83,5
0,2,10,15,64,1,20,53,1
0,2,5,20,32,2,0,47,2
0,2,15,17,71,2,0,77,14
0,2,5,15,92,2,24,69,15
49,2,3,10,59,2,6,56,10
0,2,7,14,44,1,3,52,5
0,3,9,22,63,3,3,76,7
0,3,2,19,8,2,0,24,0
0,3,5,16,43,1,0,57,4
89,4,3,20,99,3,7,95,19
0,2,3,14,23,1,0,33,2
0,2,17,8,75,1,17,53,14
13,2,2,11,19,1,2,25,2
0,3,4,27,24,3,2,48,1
0,2,3,9,12,1,0,18,1
0,3,15,20,77,2,8,73,11
0,2,8,18,37,1,8,39,3
0,3,5,41,26,3,10,51,1
49,4,3,23,59,4,6,67,10
0,2,4,14,15,1,0,25,2
0,3,3,17,16,2,0,29,0
0,2,6,13,44,2,6,45,1
0,4,4,21,40,4,1,58,1
0,2,14,16,80,2,6,76,11
0,2,3,19,20,2,0,36,0
0,3,5,21,31,3,4,42,3
0,2,2,19,1,1,0,18,0
4,4,13,54,150,3,35,158,10
0,4,2,18,6,4,14,9,2
0,2,1,11,6,1,0,16,0
0,2,4,10,33,2,0,39,0
14,2,3,13,25,1,0,33,3
0,2,3,21,14,2,0,32,1
0,3,2,29,1,2,0,27,0
0,3,4,16,25,2,0,36,2
33,3,6,15,67,3,7,66,8
0,3,2,11,8,2,3,12,1
108,5,2,49,143,3,49,111,19
0,2,4,12,27,1,0,35,1
0,2,3,21,18,1,0,36,1
0,2,6,11,46,3,0,50,1
0,3,10,11,58,2,0,58,6
0,2,9,9,78,1,7,75,8
5,3,3,28,16,3,1,42,3
64,2,3,12,73,3,5,86,9
0,4,2,27,10,4,0,37,1
0,2,13,19,65,2,8,63,10
0,3,4,16,29,2,0,40,2
0,2,5,16,22,2,0,33,1
0,2,10,12,46,1,6,42,6
0,3,6,18,44,5,0,59,1
4,3,3,11,12,3,1,21,3
0,2,6,21,61,1,25,51,3
0,3,3,16,18,2,0,30,1
0,2,8,12,48,1,0,56,3
0,4,2,21,5,3,4,18,0
20,2,3,20,37,2,6,45,4
0,4,5,14,32,5,19,24,3
0,3,3,14,12,2,0,22,0
0,8,11,53,83,10,24,95,3
0,4,2,20,6,4,16,9,2
0,3,2,16,12,2,0,25,0
0,2,6,14,25,1,0,33,2
0,3,5,18,33,3,6,39,3
0,2,3,15,14,1,0,26,0
0,3,3,12,15,2,0,23,0
0,3,5,13,41,2,1,47,3
0,4,2,17,5,2,0,18,1
0,2,4,15,21,2,0,32,2
0,3,3,19,15,2,0,30,2
23,2,3,12,33,2,12,27,4
0,4,3,25,8,3,0,32,2
0,2,2,16,1,1,0,15,0
0,3,3,20,15,2,0,31,1
0,3,7,11,38,1,2,43,7
0,2,12,16,49,1,16,37,5
0,2,2,16,1,1,0,15,0
38,3,6,14,58,3,20,48,3
0,3,6,15,28,2,0,36,2
0,2,18,13,82,2,6,75,16
0,3,2,21,8,2,0,26,0
115,2,3,13,125,4,7,113,19
0,2,11,14,69,1,9,63,6
0,3,8,13,47,2,3,48,5
47,3,4,15,90,7,1,81,7
0,2,4,15,14,2,0,25,1
7,3,7,17,55,2,3,64,7
155,2,6,20,228,2,99,140,4
0,2,5,20,28,2,0,43,3
0,3,2,14,12,2,4,19,0
0,2,3,18,16,1,0,31,0
20,3,9,17,96,3,24,75,6
14,2,9,11,62,2,20,47,5
56,2,3,14,66,2,5,66,12
0,2,8,11,41,2,4,40,1
0,3,4,20,23,3,10,28,0
0,2,3,17,51,2,0,65,0
0,3,3,16,13,2,0,25,2
